treatment;ID;morphospecies;sindrome;ID_SEED;month;abundance;forest_fragment;seed_diameter;seed_length;;;;;;;;;;;;;;;
live_tree 05;227;Schinus terebinthifoliu Morfo 42;zoochooric;49;junho;1;1;3.696;3.161;;;;;;;;;;;;;;;
live_tree 05;228;morfo 78;zoochooric;107;junho;1;1;3.415;4.778333333;;;;;;;;;;;;;;;
live_tree 05;229;morfo 48;zoochooric;77;junho;2;1;2.489;3.754;;;;;;;;;;;;;;;
live_tree 05;230;Cecropia sp;zoochooric;11;junho;1;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 05;231;morfo 33;zoochooric;59;junho;2;1;1.884;1.989;;;;;;;;;;;;;;;
live_tree 05;232;morfo 55;zoochooric;87;junho;1;1;1.884;2.349;;;;;;;;;;;;;;;
live_tree 05;233;bignoniaceae maior;anemochorous;98;julho;3;1;1.884;14.25;;;;;;;;;;;;;;;
live_tree 05;234;morfo 78;zoochooric;119;setembro;1;1;3.415;4.778333333;;;;;;;;;;;;;;;
live_tree 05;235;Cecropia sp;zoochooric;11;outubro;2;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 05;236;Solanum sp.;zoochooric;55;outubro;1;1;2.96;4.245;;;;;;;;;;;;;;;
live_tree 06;237;Pera glabrata;zoochooric;8;novembro;1;1;4.299;6.082;;;;;;;;;;;;;;;
live_tree 06;238;Pera glabrata;zoochooric;8;dezembro;2;1;4.299;6.082;;;;;;;;;;;;;;;
live_tree 06;239;Cecropia sp;zoochooric;11;novembro;8;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 06;240;Cecropia sp;zoochooric;11;dezembro;263;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 06;241;Cecropia sp;zoochooric;11;março;11;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 06;242;Cecropia sp;zoochooric;11;maio;80;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 06;243;morfo 21;zoochooric;44;dezembro;1;1;4.54;3.66;;;;;;;;;;;;;;;
live_tree 06;244;morfo 23;zoochooric;47;dezembro;2;1;5.502857143;8.535714286;;;;;;;;;;;;;;;
live_tree 06;245;asteraceae;anemochorous;5;dezembro;6;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 06;246;morfo 24;autochorous;48;dezembro;3;1;4.786818182;5.332181818;;;;;;;;;;;;;;;
live_tree 06;247;morfo 63;zoochooric;96;março;1;1;9;7.7;;;;;;;;;;;;;;;
